"","site.type","TPI.gen","TRI.gen","month","day","n","temp.soil.mean.daily","temp.soil.min.daily","temp.soil.med.daily","temp.soil.max.daily","temp.soil.se.daily","temp.ground.mean.daily","temp.ground.min.daily","temp.ground.med.daily","temp.ground.max.daily","temp.ground.se.daily","temp.air.mean.daily","temp.air.min.daily","temp.air.med.daily","temp.air.max.daily","temp.air.se.daily","moisture.soil.mean.daily","moisture.soil.min.daily","moisture.soil.med.daily","moisture.soil.max.daily","moisture.soil.se.daily","date"
"1","concave.gentle","concave","gentle",6,26,285,16.3288070175439,8.31,15.88,28.25,0.285487090086753,15.6313333333333,-1.25,12.81,40.88,0.771017844217929,13.5825964912281,-2.12,12.5,33.38,0.673045373730502,2.12315789473684,0.2,1.9,4.6,0.0685988073247579,2025-06-26
"2","concave.gentle","concave","gentle",6,27,288,17.2409027777778,8.88,16.25,29.62,0.317017986341969,17.8090972222222,0.25,14.53,41.94,0.802347125537734,15.6042708333333,-0.5,14.5,34.5,0.686426859692181,2.53159722222222,1.1,2.15,5.1,0.0715358908371667,2025-06-27
"3","concave.gentle","concave","gentle",6,28,288,18.3167361111111,10,17.5,30.44,0.308599708600607,18.6388541666667,1.62,16.12,41.62,0.774447545480126,16.3301388888889,0.88,15.75,33.25,0.652686984680637,2.73993055555556,1.4,2.35,5.4,0.0713180958266093,2025-06-28
"4","concave.gentle","concave","gentle",6,29,288,19.1158680555556,10.12,18.19,31.5,0.332049312340662,19.1722222222222,1.19,15.12,41.5,0.81689685402407,16.686875,0.38,15.595,33,0.678299446929987,2.85381944444444,1.3,2.4,5.5,0.0760234562153504,2025-06-29
"5","concave.gentle","concave","gentle",6,30,288,19.3672569444444,10.06,18.28,32.62,0.35002044788774,19.0817361111111,0.38,15.44,43.75,0.877032821520662,16.6961805555556,-0.62,16.25,36.38,0.755922232050677,2.821875,1,2.4,5.8,0.0829267219622165,2025-06-30
"6","concave.gentle","concave","gentle",7,1,288,19.8743402777778,11.38,19.345,32.38,0.30344535402852,19.6129513888889,2.81,17.875,42.88,0.74471821294846,17.8965625,2.12,17.63,37.69,0.667446499623452,2.73298611111111,0.9,2.4,5.5,0.0739404960777655,2025-07-01
"7","concave.gentle","concave","gentle",7,2,288,16.895625,10.31,16.75,28.38,0.21638941564728,15.2838194444444,4,13.44,34.31,0.505491700481186,14.451875,3.38,13.375,31,0.472491701205269,4.11875,1.9,3.4,7.8,0.0895232153841764,2025-07-02
"8","concave.gentle","concave","gentle",7,3,288,15.7936458333333,12,15.38,22.62,0.14089870380274,14.9934722222222,6.38,14.75,31.62,0.350693458943813,13.9617361111111,5.5,14.12,27.5,0.305486451701474,3.68194444444444,1.6,3.9,7.2,0.077365123657782,2025-07-03
"9","concave.gentle","concave","gentle",7,4,288,15.8022569444444,10.62,15.5,23.38,0.177585984125893,14.8901736111111,4.31,12.75,34.25,0.418291652607378,13.7962152777778,3.81,12.06,31.25,0.371161594631534,5.45104166666667,1.7,4.6,18.1,0.186626390663208,2025-07-04
"10","concave.gentle","concave","gentle",7,5,288,15.0296527777778,9.12,14.09,25.75,0.249928710443365,15.3450347222222,3.88,11.53,35.62,0.56949225293024,13.9511805555556,3.19,10.97,29.75,0.506485008622362,14.8631944444444,6.3,17.65,45.7,0.367310006383806,2025-07-05
"11","concave.gentle","concave","gentle",7,6,288,16.4520138888889,8.62,15.315,29.62,0.334474451968826,17.1454166666667,2,14.62,39.94,0.742303882896683,15.1511458333333,1,14.44,32.44,0.63773779015282,12.5996527777778,5.7,14.15,18.3,0.257060809802066,2025-07-06
"12","concave.gentle","concave","gentle",7,7,288,18.0981944444444,9,17.06,30.75,0.356013250915766,18.3859375,1,13.595,43,0.838417413366364,16.0001736111111,0,13.155,35.19,0.726733312323777,11.2395833333333,4.6,12.3,16.5,0.230806186479456,2025-07-07
"13","concave.gentle","concave","gentle",7,8,288,18.6262152777778,10.25,18.5,30.25,0.293410342354097,18.8620833333333,2.38,15.78,42.38,0.75143019969943,17.104375,1.44,15.155,36.38,0.676666041672636,10.096875,4.2,11.3,15,0.204769375963099,2025-07-08
"14","concave.gentle","concave","gentle",7,9,288,18.7434375,9.62,17.75,32,0.3433970638602,20.2920138888889,1.5,15.62,46.25,0.890466086843804,18.2502083333333,0.5,15.62,38.56,0.778203016261027,9.13888888888889,3.7,9.8,13.8,0.178992009122771,2025-07-09
"15","concave.gentle","concave","gentle",7,10,192,20.5608854166667,12.31,19.25,32.38,0.424932135451401,20.6671875,5.5,16.715,42.38,0.92510734250006,18.34109375,4.62,16.315,34.38,0.791484408907631,7.73645833333333,3.6,8.3,12.4,0.216120905620115,2025-07-10
"16","concave.gentle","concave","gentle",7,11,192,19.835625,10.5,19,32.19,0.446291630657949,18.3542708333333,1.12,14.285,44,1.02966487989368,15.90171875,0.06,13.345,36,0.913397006648406,6.8359375,3,7.45,10.9,0.190001638361087,2025-07-11
"17","concave.gentle","concave","gentle",7,12,192,20.2277604166667,11.12,19.25,32.88,0.444218137803267,19.4130729166667,2.62,15.565,44.75,1.00428965261131,17.0556770833333,1.81,14.875,36.5,0.883773511946517,6.38958333333333,2.9,6.95,10.1,0.171975798751777,2025-07-12
"18","concave.gentle","concave","gentle",7,13,192,20.7974479166667,11.31,19.56,34.25,0.466899125096527,20.3545833333333,2.75,15.845,45.88,1.06964065674517,18.1231770833333,1.88,15.25,38.25,0.957280548358285,6.08541666666667,2.6,6.6,9.7,0.167267065922584,2025-07-13
"19","concave.gentle","concave","gentle",7,14,192,21.19984375,11.5,19.97,34.62,0.476256487067,20.5307291666667,2.56,16,46.38,1.07806668814303,18.2152604166667,1.75,15.685,39,0.958283814644355,5.88697916666667,2.4,6.4,9.5,0.165860625712604,2025-07-14
"20","concave.gentle","concave","gentle",7,15,192,20.78234375,12.12,20.155,34.12,0.393796104717612,18.5528125,3.88,15.44,42.75,0.840153922617922,16.8990104166667,3.06,14.72,36.5,0.759554827510297,5.459375,2.2,6,9,0.158429444484917,2025-07-15
"21","concave.gentle","concave","gentle",7,16,192,17.9442708333333,9.75,16.655,31.88,0.417832164590105,17.0772916666667,3.12,11.97,41.75,0.921973632086711,15.3101041666667,2.25,11.625,34,0.804487987248603,6.59739583333333,2.5,6.65,10.3,0.220716738247616,2025-07-16
"22","concave.gentle","concave","gentle",7,17,192,19.3688020833333,10.06,18.56,32.5,0.456680888730566,18.2558333333333,1.69,14.28,44.31,1.03521937918049,16.2000520833333,0.62,13.78,36.62,0.935113240153235,5.96302083333333,2,6.6,10.1,0.196850712712601,2025-07-17
"23","concave.gentle","concave","gentle",7,18,192,19.3986979166667,11.19,18.88,32.38,0.38360581174781,17.34953125,3.12,15.37,40.62,0.809946656807199,15.8490104166667,2.38,15.13,34.5,0.744274424128157,5.35885416666667,1.8,5.9,9.4,0.178386345195415,2025-07-18
"24","concave.gentle","concave","gentle",7,19,192,16.4610416666667,10.38,16.19,23.5,0.271067762935033,14.2349479166667,3.38,11.81,35.38,0.647484847224588,13.2979166666667,2.75,11.285,30.75,0.611269710516606,5.27864583333333,2.1,5.9,9.4,0.168904246284945,2025-07-19
"25","concave.gentle","concave","gentle",7,20,192,16.33265625,9.38,15.185,27.62,0.367610525568488,16.5568229166667,1.75,11.75,39.38,0.906944366924567,15.2358333333333,1,12.03,34.25,0.829679485273612,5.98385416666667,3.1,6.5,9.2,0.139505244487216,2025-07-20
"26","concave.gentle","concave","gentle",7,21,192,18.6064583333333,11.25,17.06,30.75,0.394842437690949,19.208125,4.38,14.815,44.88,0.943767039029407,17.3134375,3.62,14.185,36.94,0.834120282842458,5.8546875,2.9,6.4,9.4,0.142882682212175,2025-07-21
"27","concave.gentle","concave","gentle",7,22,192,19.8455208333333,13.25,19.25,30.38,0.323694853358987,19.92078125,7.69,15.435,39.94,0.687037310249178,18.1575,7.12,14.72,34.19,0.590755134121068,5.78125,2.9,6.2,8.9,0.143128350803274,2025-07-22
"28","concave.gentle","concave","gentle",7,23,192,18.3534895833333,11.25,17.06,31.75,0.39145572006231,17.1399479166667,2.62,12.09,45.25,0.885960834722429,15.1813020833333,1.75,11.12,36.62,0.778148763969833,5.44322916666667,2.2,6.2,8.9,0.154206859818532,2025-07-23
"29","concave.gentle","concave","gentle",7,24,192,18.0030729166667,10,17.815,30.5,0.364706458403376,15.1627083333333,1.12,13.69,41.75,0.814518050140617,13.7128125,0.19,12.53,35.62,0.768171851250281,5.096875,1.8,5.75,8.7,0.162163038759867,2025-07-24
"30","concave.gentle","concave","gentle",7,25,192,16.3511458333333,8.38,15.315,29.62,0.411294842579665,16.14015625,0.62,13.595,42.75,0.968860740662974,14.77671875,-0.12,13.845,36.06,0.877059975927922,5.77708333333333,1.8,6.7,9.6,0.203499272027747,2025-07-25
"31","concave.gentle","concave","gentle",7,26,192,17.3644791666667,9.69,16.5,28.88,0.363534306605139,15.6871354166667,1.44,13.095,37.5,0.823606329919881,14.1904166666667,0.44,12,33,0.777703441595895,5.17760416666667,1.6,5.65,9.1,0.17890446878932,2025-07-26
"32","concave.gentle","concave","gentle",7,27,192,17.1941145833333,8.69,15.845,31.81,0.448385849976539,16.8173958333333,-0.06,11.405,43.88,1.07579420033914,15.0157291666667,-0.88,10.5,36.31,0.975032267470664,5.0578125,1.2,5.8,9.1,0.186139499914718,2025-07-27
"33","concave.gentle","concave","gentle",7,28,192,18.688125,8.88,17.315,33.12,0.490245032721822,17.9733854166667,-0.88,13.19,46.69,1.15111644696966,16.0758333333333,-1.88,13.44,38.88,1.04786862006855,4.83802083333333,0.9,5.5,8.8,0.185115911043021,2025-07-28
"34","concave.gentle","concave","gentle",7,29,192,18.5383854166667,10.62,17.72,32.88,0.376161037134892,17.2148958333333,2.62,13.66,43.81,0.845551558960875,16.0205208333333,1.88,13.905,37.88,0.802588232916731,4.4609375,1,5.25,8.5,0.172742942278254,2025-07-29
"35","concave.gentle","concave","gentle",7,30,192,17.795,10.06,17.285,28,0.36010353065795,16.8568229166667,2.5,13.12,40.88,0.82032040456973,15.9220833333333,1.88,13.25,36.5,0.767358565430275,4.29739583333333,0.9,4.95,8,0.167803336362836,2025-07-30
"36","concave.gentle","concave","gentle",7,31,192,18.0209895833333,10.75,16.315,32,0.396915549349371,19.9094791666667,4.12,14.685,44.88,0.863553349689241,18.9766145833333,3.81,15.22,37.5,0.705133834355693,4.65416666666667,1.2,5.4,8.6,0.174333111846202,2025-07-31
"37","concave.gentle","concave","gentle",8,1,192,18.6621875,11.38,18.19,31.25,0.354473802300687,17.32890625,4.31,14.905,41.56,0.773221931309955,16.0861979166667,3.38,14.88,36.25,0.721397786731806,4.19479166666667,0.9,4.95,8.1,0.166577320483498,2025-08-01
"38","concave.gentle","concave","gentle",8,2,192,17.1925520833333,9.38,16.09,28.12,0.381619501280546,15.7922395833333,0.88,11.72,42.62,0.904616522039268,14.4181770833333,0.06,11,36.12,0.848038023858595,3.971875,0.4,4.75,8.3,0.174371543967953,2025-08-02
