"","SiteID","Species","Group","germ.rate.total","surv.rate.total","estab.rate.total","germ.rate.total.logit","surv.rate.total.logit","estab.rate.total.logit","germ.rate.spring","surv.rate.spring","germ.rate.spring.logit","surv.rate.spring.logit","germination.total","potential.germ.total","survival.total","damage.any","canopy.cover.mean","elevation.m","TPI.30","TPI.gen","Slope","TRI.30","TRI.gen","aspect","aspect.gen","month","temp.soil.mean","temp.soil.min","temp.soil.max","temp.soil.se","temp.ground.mean","temp.ground.min","temp.ground.max","temp.ground.se","temp.air.mean","temp.air.min","temp.air.max","temp.air.se","date"
"1","CR01","pico","C",0.02,0,0,-3.54715129428523,-4.77912349311153,-4.77912349311153,0.02,1,-3.54715129428523,4.77912349311153,1,50,0,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW",6,18.3730208333333,11.44,27.88,0.203497512203461,18.2102083333333,2.38,40.75,0.539161042125369,17.0289166666667,2.44,34.81,0.462491819581338,NA
"2","CR01","pico","C",0.02,0,0,-3.54715129428523,-4.77912349311153,-4.77912349311153,0.02,1,-3.54715129428523,4.77912349311153,1,50,0,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW",7,18.7031955645161,10.12,29.5,0.0782644417444887,18.3320228494624,3.12,44.12,0.198900582505829,17.4864650537634,2.88,38.75,0.173229303376588,NA
"3","CR01","pico","C",0.02,0,0,-3.54715129428523,-4.77912349311153,-4.77912349311153,0.02,1,-3.54715129428523,4.77912349311153,1,50,0,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW",8,17.8218380376344,7.69,28.38,0.0798353180733611,17.0306821236559,1.25,42.5,0.188858529828008,16.3911794354839,1.38,37.75,0.162274387855964,NA
"4","CR01","pico","C",0.02,0,0,-3.54715129428523,-4.77912349311153,-4.77912349311153,0.02,1,-3.54715129428523,4.77912349311153,1,50,0,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW",9,13.549296875,8.44,20.62,0.0899457263104391,14.0528472222222,2.25,36.44,0.257847989420086,13.9293142361111,2.69,33.44,0.223275141296662,NA
"5","CR01","psme","C",0,NA,0,-4.77912349311153,NA,-4.77912349311153,0,0,-4.77912349311153,-4.77912349311153,0,50,0,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW",6,18.3730208333333,11.44,27.88,0.203497512203461,18.2102083333333,2.38,40.75,0.539161042125369,17.0289166666667,2.44,34.81,0.462491819581338,NA
"6","CR01","psme","C",0,NA,0,-4.77912349311153,NA,-4.77912349311153,0,0,-4.77912349311153,-4.77912349311153,0,50,0,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW",7,18.7031955645161,10.12,29.5,0.0782644417444887,18.3320228494624,3.12,44.12,0.198900582505829,17.4864650537634,2.88,38.75,0.173229303376588,NA
"7","CR01","psme","C",0,NA,0,-4.77912349311153,NA,-4.77912349311153,0,0,-4.77912349311153,-4.77912349311153,0,50,0,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW",8,17.8218380376344,7.69,28.38,0.0798353180733611,17.0306821236559,1.25,42.5,0.188858529828008,16.3911794354839,1.38,37.75,0.162274387855964,NA
"8","CR01","psme","C",0,NA,0,-4.77912349311153,NA,-4.77912349311153,0,0,-4.77912349311153,-4.77912349311153,0,50,0,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW",9,13.549296875,8.44,20.62,0.0899457263104391,14.0528472222222,2.25,36.44,0.257847989420086,13.9293142361111,2.69,33.44,0.223275141296662,NA
"9","CR01","pico","E",0.04,0,0,-2.99468277197087,-4.77912349311153,-4.77912349311153,0.04,1,-2.99468277197087,4.77912349311153,2,50,0,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW",6,18.3730208333333,11.44,27.88,0.203497512203461,18.2102083333333,2.38,40.75,0.539161042125369,17.0289166666667,2.44,34.81,0.462491819581338,NA
"10","CR01","pico","E",0.04,0,0,-2.99468277197087,-4.77912349311153,-4.77912349311153,0.04,1,-2.99468277197087,4.77912349311153,2,50,0,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW",7,18.7031955645161,10.12,29.5,0.0782644417444887,18.3320228494624,3.12,44.12,0.198900582505829,17.4864650537634,2.88,38.75,0.173229303376588,NA
