"","SiteID","Group","Species","Row","Column","germination.spring","germination.fall.new","germ.any","survival.spring","survival.fall","surv.any","tray.damage.spring","tray.damage.fall","damage.any","nodamage.any","dead.germinant.fall","canopy.cover.mean","elevation.m","TPI.30","TPI.gen","Slope","TRI.30","TRI.gen","aspect","aspect.gen","site.type"
"1","CR01","C","pico","A",1,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"2","CR01","C","pico","A",2,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"3","CR01","C","pico","A",3,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"4","CR01","C","pico","A",4,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"5","CR01","C","pico","A",5,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"6","CR01","C","pico","A",6,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"7","CR01","C","pico","A",7,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"8","CR01","C","pico","A",8,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"9","CR01","C","pico","A",9,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"10","CR01","C","pico","A",10,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"11","CR01","C","psme","A",1,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"12","CR01","C","psme","A",2,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"13","CR01","C","psme","A",3,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"14","CR01","C","psme","A",4,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"15","CR01","C","psme","A",5,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"16","CR01","C","psme","A",6,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"17","CR01","C","psme","A",7,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"18","CR01","C","psme","A",8,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"19","CR01","C","psme","A",9,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"20","CR01","C","psme","A",10,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"21","CR01","E","pico","A",1,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"22","CR01","E","pico","A",2,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"23","CR01","E","pico","A",3,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"24","CR01","E","pico","A",4,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"25","CR01","E","pico","A",5,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"26","CR01","E","pico","A",6,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"27","CR01","E","pico","A",7,1,0,1,1,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"28","CR01","E","pico","A",8,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"29","CR01","E","pico","A",9,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"30","CR01","E","pico","A",10,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"31","CR01","E","psme","A",1,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"32","CR01","E","psme","A",2,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"33","CR01","E","psme","A",3,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
