"SiteID","Species","n","survival.binary","germination.binary","germ.rate.total","surv.rate.total","estab.rate.total","germ.rate.spring","surv.rate.spring","germination.total","potential.germ.total","survival.total","damage.any","canopy.cover.mean","elevation.m","TPI.30","TPI.gen","Slope","TRI.30","TRI.gen","aspect","aspect.gen","site.type"
"CR01","pico",250,0,1,0.025,0,0,0.025,1,6,236,0,14,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"CR01","psme",250,1,1,0.024,0.333,0.008,0.024,1,6,250,2,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"CR02","pico",250,0,1,0.029,0,0,0.029,0.571,7,239,0,11,43.58,2329.692154,2.872052544,"convex",25.67852835,11.12948486,"high",261.5200827,"W","convex.rugged"
"CR02","psme",250,NA,0,0,NA,0,0,NA,0,238,0,12,43.58,2329.692154,2.872052544,"convex",25.67852835,11.12948486,"high",261.5200827,"W","convex.rugged"
"CR03","pico",250,0,1,0.012,0,0,0.004,1,3,245,0,5,24.34,2308.659484,3.499287584,"convex",20.12353032,8.587282037,"high",252.7679256,"W","convex.rugged"
"CR03","psme",250,NA,0,0,NA,0,0,NA,0,190,0,60,24.34,2308.659484,3.499287584,"convex",20.12353032,8.587282037,"high",252.7679256,"W","convex.rugged"
"CR04","pico",250,0,1,0.024,0,0,0.024,1,6,250,0,0,26.42,2381.601058,1.855689697,"convex",14.57385738,6.145331217,"low",295.7296987,"NW","convex.gentle"
"CR04","psme",250,0,1,0.008,0,0,0.008,1,2,250,0,0,26.42,2381.601058,1.855689697,"convex",14.57385738,6.145331217,"low",295.7296987,"NW","convex.gentle"
"CR05","pico",250,1,1,0.078,0.211,0.016,0.078,0.947,19,244,4,6,62.3,2300.160556,3.053227132,"convex",11.42007617,5.675108303,"low",318.6631805,"NW","convex.gentle"
"CR05","psme",250,0,1,0.016,0,0,0.016,1,4,250,0,0,62.3,2300.160556,3.053227132,"convex",11.42007617,5.675108303,"low",318.6631805,"NW","convex.gentle"
"CR06","pico",250,1,1,0.32,0.325,0.104,0.304,0.829,80,250,26,0,20.96,2267.46088,2.023981425,"convex",9.553917117,4.345108609,"low",218.1173309,"SW","convex.gentle"
"CR06","psme",250,1,1,0.324,0.235,0.076,0.316,0.772,81,250,19,0,20.96,2267.46088,2.023981425,"convex",9.553917117,4.345108609,"low",218.1173309,"SW","convex.gentle"
"CR07","pico",250,1,1,0.223,0.491,0.109,0.208,0.865,55,247,27,3,24.86,2323.891793,-3.085792169,"concave",24.70558576,11.3737007,"high",43.82147943,"NE","concave.rugged"
"CR07","psme",250,1,1,0.133,0.281,0.038,0.124,0.968,32,240,9,10,24.86,2323.891793,-3.085792169,"concave",24.70558576,11.3737007,"high",43.82147943,"NE","concave.rugged"
"CR08","pico",250,0,1,0.061,0,0,0.042,0.889,9,148,0,102,38.12,2304.43609,-4.881052043,"concave",30.54764904,14.21430678,"high",256.741305,"W","concave.rugged"
"CR08","psme",250,NA,0,0,NA,0,0,NA,0,97,0,153,38.12,2304.43609,-4.881052043,"concave",30.54764904,14.21430678,"high",256.741305,"W","concave.rugged"
"CR09","pico",250,1,1,0.102,0.087,0.009,0.098,0.5,23,225,2,25,26.94,2301.031624,-2.298519762,"concave",26.41773623,11.14435954,"high",236.3520098,"SW","concave.rugged"
"CR09","psme",250,0,1,0.032,0,0,0.032,0.571,7,218,0,32,26.94,2301.031624,-2.298519762,"concave",26.41773623,11.14435954,"high",236.3520098,"SW","concave.rugged"
"CR10","pico",250,1,1,0.268,0.642,0.172,0.264,0.924,67,250,43,0,40.46,2291.218746,-1.13975491,"concave",7.469630928,3.324239502,"low",319.9211703,"NW","concave.gentle"
"CR10","psme",250,1,1,0.188,0.234,0.044,0.18,0.756,47,250,11,0,40.46,2291.218746,-1.13975491,"concave",7.469630928,3.324239502,"low",319.9211703,"NW","concave.gentle"
"CR11","pico",250,0,1,0.128,0,0,0.124,0.226,32,250,0,0,11.6,2296.530443,-3.232536723,"concave",8.715095104,4.441708408,"low",262.0325061,"W","concave.gentle"
"CR11","psme",250,0,1,0.048,0,0,0.048,0.667,12,250,0,0,11.6,2296.530443,-3.232536723,"concave",8.715095104,4.441708408,"low",262.0325061,"W","concave.gentle"
"CR12","pico",250,1,1,0.303,0.284,0.086,0.296,0.865,74,244,21,6,18.88,2449.109532,-2.135958828,"concave",10.44058353,5.190922004,"low",274.5211319,"W","concave.gentle"
"CR12","psme",250,1,1,0.024,0.167,0.004,0.024,0.667,6,250,1,0,18.88,2449.109532,-2.135958828,"concave",10.44058353,5.190922004,"low",274.5211319,"W","concave.gentle"
