SiteID,Group,Species,Row,Column,germination.spring,germination.fall,survival.spring,survival.fall,tray.damage.spring,tray.damage.fall,damage.notes.spring,damage.notes.fall,notes.spring,notes.fall
CR01,S,psme,A,1,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,A,2,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,A,3,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,A,4,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,A,5,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,A,6,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,A,7,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,A,8,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,A,9,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,A,10,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,B,1,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,B,2,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,B,3,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,B,4,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,B,5,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,B,6,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,B,7,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,B,8,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,B,9,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,B,10,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,C,1,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,C,2,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,C,3,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,C,4,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,C,5,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,C,6,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,C,7,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,C,8,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,C,9,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,C,10,0,,0,,0,,,,"none to planted area, some damage to tray",
CR01,S,psme,D,1,0,,0,,0,,,,"none to planted area, some damage to tray",
